hotel name,other,description,additional informations,other,hotel name,description,rating,rating,other,address,city,additional informations,city,check-in hours,location,check-in hours,additional informations
citizenM Paris Gare de Lyon,Galleria fotografica per citizenM Paris Gare de Lyon,,"Salottino della hall              Biancheria da letto di alta qualità, materassi a doppio strato              Terrazza/patio              Biancheria da letto di alta qualità, materassi a doppio strato",30+,Panoramica di citizenM Paris Gare de Lyon,"Hotel elegante con ristorante, non lontano da Jardin des Plantes","9,0",Meraviglioso,Vedi tutte le 1.003 recensioni,"8 Rue van Gogh, Paris, Ile-de-France, 75012",Jardin des Plantes,9 min a piedi,AccorHotels Arena,14 min a piedi,Place de la Bastille,15 min a piedi,Parigi (CDG-Roissy-Charles de Gaulle)   42 min in auto
Hotel Bisanzio,Galleria fotografica per Hotel Bisanzio,"Camera Superior, terrazzo | Terrazza/patio","Hall              Terrazza/patio              Camera Superior | Minibar, una cassaforte in camera, una scrivania, tende oscuranti              Suite | Minibar, una cassaforte in camera, una scrivania, tende oscuranti",59+,Panoramica di Hotel Bisanzio,"Hotel elegante con bar/lounge, non lontano da Piazza San Marco","9,2",Meraviglioso,Vedi tutte le 1.002 recensioni,"Riva degli Schiavoni, Calle della Pieta, 3651, Venice, VE, 30122",Piazza San Marco,6 min a piedi,Basilica di S. Marco,7 min a piedi,Ponte di Rialto,13 min a piedi,
Royal San Marco Hotel,Galleria fotografica per Royal San Marco Hotel,Bar (in loco),"Bar (in loco)              Vista dalla struttura              Esterni              Minibar, una cassaforte in camera, insonorizzazione, Wi-Fi gratuito",53+,Panoramica di Royal San Marco Hotel,"Hotel elegante con ristorante, non lontano da Piazza San Marco","7,8",Buono,Vedi tutte le 1.002 recensioni,"San Marco Calle dei Fabbri, Venice, VE, 848 30124",,,,,,,
Nouvel Hotel Eiffel,Galleria fotografica per Nouvel Hotel Eiffel,"Camera familiare, camere comunicanti | Una cassaforte in camera, una scrivania, insonorizzazione","Una cassaforte in camera, una scrivania, insonorizzazione              Facciata della struttura              Colazione completa, servita tutte le mattine (12 EUR a persona)              Asciugacapelli, asciugamani, sapone, shampoo",35+,Panoramica di Nouvel Hotel Eiffel,"Hotel che ammette animali con collegamento al centro congressi, non distante da Torre Eiffel","8,6",Eccellente,Vedi tutte le 372 recensioni,"5 Rue Des Volontaires, Paris, Paris, 75015",Torre di Montparnasse,18 min a piedi,Paris Expo Porte de Versailles,6 min in auto,Torre Eiffel,6 min in auto,Parigi (ORY-Orly)   23 min in auto
Hotel Bella Venezia,Galleria fotografica per Hotel Bella Venezia,,"Ristorante              Facciata della struttura              Camera Superior con letto matrimoniale o 2 letti singoli | Minibar, una cassaforte in camera, una scrivania, Wi-Fi gratuito              Camera Superior con letto matrimoniale o 2 letti singoli | Minibar, una cassaforte in camera, una scrivania, Wi-Fi gratuito",56+,Panoramica di Hotel Bella Venezia,"Hotel elegante con bar/lounge, non lontano da Teatro Goldoni",,,Vedi tutte le 271 recensioni,"San Marco 4710 - Calle Dei Fabbri, Venice, VE, 30124",,,,,,,
IQ Hotel Firenze,Galleria fotografica per IQ Hotel Firenze,,"Idromassaggio all'aperto              Doppia Exclusive | Biancheria da letto di alta qualità, materassi in memory foam, minibar              Doppia Exclusive | Biancheria da letto di alta qualità, materassi in memory foam, minibar              Area ristorazione",85+,Panoramica di IQ Hotel Firenze,"Hotel con collegamento a una stazione ferroviaria/metropolitana e spa completamente attrezzata, vicino a Cattedrale di Santa Maria del Fiore","9,6",,Vedi tutte le 284 recensioni,"Via Camillo Cavour, 88, Florence, 50129",,12 min a piedi,Piazza del Duomo,,,,Firenze (FLR-Peretola)   25 min in auto
ibis Paris Ornano Montmartre Nord 18ème,Galleria fotografica per ibis Paris Ornano Montmartre Nord 18ème,,"Esterni              Standard di pulizia              Interni              Doccia, articoli per l'igiene personale ecosostenibili, asciugamani",22+,Panoramica di ibis Paris Ornano Montmartre Nord 18ème,"Hotel con bar/lounge, nei pressi di Locale Notturno La Machine du Moulin Rouge","7,4",Buono,Vedi tutte le 364 recensioni,"70 Bis Boulevard Ornano, Paris, Paris, 75018",Stade de France,5 min in auto,Locale Notturno La Machine du Moulin Rouge,6 min in auto,Arco di Trionfo,10 min in auto,Parigi (CDG-Roissy-Charles de Gaulle)   25 min in auto
Campanile La Villette,Galleria fotografica per Campanile La Villette,Bar (in loco),"Next Generation, Camera Superior, letti multipli | Una scrivania, insonorizzazione, culle/letti per bambini (gratuiti)              Esterni              Aperto a pranzo e cena              Combinazione doccia/vasca",35+,Panoramica di Campanile La Villette,Hotel in periferia in zona 19° Arrondissement con ristorante e bar/lounge,"8,4",Ottimo,,"147 - 151 Avenue De Flandre, Paris, Paris, 75019",Canal Saint-Martin,6 min a piedi,Stade de France,7 min in auto,Locale Notturno La Machine du Moulin Rouge,10 min in auto,Parigi (CDG-Roissy-Charles de Gaulle)   31 min in auto
H22 Hotel,Galleria fotografica per H22 Hotel,"Singola Standard | Lenzuola Frette, biancheria da letto di alta qualità","Camera Standard | Lenzuola Frette, biancheria da letto di alta qualità              Vista dalla struttura              Doppia Basic | Lenzuola Frette, biancheria da letto di alta qualità              Camera Standard | Lenzuola Frette, biancheria da letto di alta qualità",30+,Panoramica di H22 Hotel,"Hotel nel centro della città, non lontano da Via Toledo",,,Vedi tutte le 50 recensioni,"P.za Giuseppe Garibaldi 101, Naples, Città Metropolitana di Napoli, 80142",Spaccanapoli,10 min a piedi,Museo Archeologico Nazionale di Napoli,3 min in auto,Porto di Napoli,5 min in auto,Napoli (NAP-Napoli Intl.)   35 min in auto
Villa Rosa BeYou Hotel,Galleria fotografica per Villa Rosa BeYou Hotel,Hall,"Esterni              Facciata della struttura              Biancheria da letto di alta qualità, materassi Select Comfort              Doccia, set di cortesia gratuito, asciugacapelli, bidet",14+,Panoramica di Villa Rosa BeYou Hotel,Hotel a Riccione con bar/lounge,"10,0",,Vedi 1 recensione,"Viale Galli, 9, Riccione, RN, 47838",Viale Dante,1 min a piedi,Centro Conferenze di Riccione,9 min a piedi,Viale Ceccarini,9 min a piedi,Rimini (RMI-Federico Fellini Intl.)   5 min in auto
Hotel Monte Cenci,Galleria fotografica per Hotel Monte Cenci,Facciata della struttura,"Terrazza/patio              Facciata della struttura              Doppia Deluxe | Lenzuola Frette, biancheria da letto di alta qualità              Lounge",48+,Panoramica di Hotel Monte Cenci,"Hotel elegante con ristorante, non lontano da Piazza Navona",,,Vedi tutte le 697 recensioni,"Via Beatrice Cenci, 10, Rome, 00186",Piazza Navona,12 min a piedi,Fontana di Trevi,18 min a piedi,Colosseo,5 min in auto,Roma (CIA-Ciampino)   37 min in auto
H22 Hotel,Galleria fotografica per H22 Hotel,"Singola Standard | Lenzuola Frette, biancheria da letto di alta qualità","Camera Standard | Lenzuola Frette, biancheria da letto di alta qualità              Vista dalla struttura              Doppia Basic | Lenzuola Frette, biancheria da letto di alta qualità              Camera Standard | Lenzuola Frette, biancheria da letto di alta qualità",30+,Panoramica di H22 Hotel,"Hotel nel centro della città, non lontano da Via Toledo",,,Vedi tutte le 50 recensioni,"P.za Giuseppe Garibaldi 101, Naples, Città Metropolitana di Napoli, 80142",Spaccanapoli,10 min a piedi,Museo Archeologico Nazionale di Napoli,3 min in auto,Porto di Napoli,5 min in auto,Napoli (NAP-Napoli Intl.)   35 min in auto
Hotel Leonardo Da Vinci,Galleria fotografica per Hotel Leonardo Da Vinci,Terrazza/patio,"Ristorante              Facciata della struttura              Minibar, una cassaforte in camera, una scrivania, postazione laptop              Ristorante",26+,Panoramica di Hotel Leonardo Da Vinci,"Hotel nel centro della città, a pochi passi da Fortezza da Basso","9,2",Meraviglioso,Vedi tutte le 437 recensioni,"Via G. Monaco, 12, Florence, FI, 50144",,17 min a piedi,Centro storico,5 min in auto,Ponte Vecchio,8 min in auto,Firenze (FLR-Peretola)   23 min in auto
LHP Napoli Palace & spa,Galleria fotografica per LHP Napoli Palace & spa,Design dell’edificio,"Camera Junior, 1 camera da letto, idromassaggio, piano elevato | Biancheria da letto di alta qualità, materassi in memory foam, minibar              Piscina stagionale all'aperto, ombrelloni da piscina, lettini              Aperto a colazione, pranzo e cena, cucina italiana              Biancheria da letto di alta qualità, materassi in memory foam, minibar",80+,Panoramica di LHP Napoli Palace & spa,"Hotel di lusso a Napoli, con collegamento a una stazione ferroviaria/metropolitana e spa completamente attrezzata","8,6",Eccellente,Vedi tutte le 34 recensioni,"Viale di Augusto 74, Naples, 80125",Mostra d'Oltremare,11 min a piedi,Via Caracciolo e Lungomare di Napoli,2 min in auto,Lungomare Caracciolo,3 min in auto,Napoli (NAP-Napoli Intl.)   35 min in auto
IQ Hotel Firenze,Galleria fotografica per IQ Hotel Firenze,,"Idromassaggio all'aperto              Doppia Exclusive | Biancheria da letto di alta qualità, materassi in memory foam, minibar              Doppia Exclusive | Biancheria da letto di alta qualità, materassi in memory foam, minibar              Area ristorazione",85+,Panoramica di IQ Hotel Firenze,"Hotel con collegamento a una stazione ferroviaria/metropolitana e spa completamente attrezzata, vicino a Cattedrale di Santa Maria del Fiore","9,6",,Vedi tutte le 284 recensioni,"Via Camillo Cavour, 88, Florence, 50129",,12 min a piedi,Piazza del Duomo,,,,Firenze (FLR-Peretola)   25 min in auto
Grand Hotel Minerva,Galleria fotografica per Grand Hotel Minerva,Bar (in loco),"Hall              Terrazza/patio              Dettaglio esterni              Suite (Open Space 103) | Biancheria da letto di alta qualità, copriletto in piuma, minibar",135+,Panoramica di Grand Hotel Minerva,"Hotel elegante con ristorante, non lontano da Cattedrale di Santa Maria del Fiore","9,6",,Vedi tutte le 866 recensioni,"Piazza Santa Maria Novella 16, Florence, FI, 50123",,9 min a piedi,Ponte Vecchio,10 min a piedi,Galleria degli Uffizi,12 min a piedi,Firenze (FLR-Peretola)   23 min in auto
Ca' San Polo,Galleria fotografica per Ca' San Polo,Vista dalla struttura,,64+,Panoramica di Ca' San Polo,"Affittacamere nel centro della città, non lontano da Ponte di Rialto","8,6",Eccellente,Vedi tutte le 407 recensioni,"Sestiere San Polo 2696, Venice, VE, 30125",Piazzale Roma,,Canal Grande,14 min a piedi,Piazza San Marco,,
Hôtel Eiffel Saint Charles,Galleria fotografica per Hôtel Eiffel Saint Charles,Bar (in loco),"Esterni              Doppia Classic | Biancheria da letto di alta qualità, materassi Select Comfort              Colazione continentale, servita tutte le mattine (18 EUR a persona)              Combinazione doccia/vasca, set di cortesia gratuito, asciugacapelli",50+,Panoramica di Hôtel Eiffel Saint Charles,"Hotel con bar/lounge, nei pressi di Beaugrenelle","8,8",Eccellente,Vedi tutte le 814 recensioni,"37, Rue Saint Charles, Paris, Paris, 75015",Rue du Commerce,11 min a piedi,Torre Eiffel,16 min a piedi,Piazza del Trocadéro,6 min in auto,Parigi (CDG-Roissy-Charles de Gaulle)   46 min in auto
ibis Paris Bercy Village 12ème,Galleria fotografica per ibis Paris Bercy Village 12ème,,"Servizio della struttura              Doppia Standard, 1 letto matrimoniale | Una cassaforte in camera, una scrivania, insonorizzazione              Esterni              Doccia, articoli per l'igiene personale ecosostenibili, asciugacapelli",61+,Panoramica di ibis Paris Bercy Village 12ème,Hotel a Parigi con ristorante e bar/lounge,"8,6",Eccellente,Vedi tutte le 711 recensioni,"19, Place des Vins de France, Paris, Paris, 75012",AccorHotels Arena,11 min a piedi,Cattedrale di Notre-Dame,9 min in auto,Paris Expo Porte de Versailles,9 min in auto,Parigi (ORY-Orly)   18 min in auto
Hotel President,Galleria fotografica per Hotel President,Business center,"Reception              Camera Classic con letto matrimoniale o 2 letti singoli | Minibar, una cassaforte in camera, una scrivania, postazione laptop              Colazione a buffet inclusa, servita tutte le mattine              Camera singola | Bagno | Doccia, set di cortesia gratuito, asciugacapelli, bidet",14+,Panoramica di Hotel President,"Hotel elegante con bar/lounge, non lontano da Centro Conferenze di Riccione","8,2",Ottimo,Vedi tutte le 23 recensioni,"Viale Virgilio, 12, Riccione, 47838",Viale Ceccarini,1 min a piedi,Centro Conferenze di Riccione,1 min a piedi,Viale Dante,2 min a piedi,Bologna (BLQ-Guglielmo Marconi)   83 min in auto
Six Senses Rome,Galleria fotografica per Six Senses Rome,"Deluxe Junior Suite | Biancheria da letto di alta qualità, materassi in memory foam","Ristorante              Ristorante              Corner Suite | Biancheria da letto di alta qualità, materassi in memory foam              Bar (in loco)",71+,Panoramica di Six Senses Rome,"Hotel di lusso con spa, non lontano da Fontana di Trevi","9,0",Meraviglioso,Vedi tutte le 10 recensioni,"Piazza di San Marcello, Rome, Rome, 00187",Fontana di Trevi,5 min a piedi,Piazza Navona,10 min a piedi,Colosseo,16 min a piedi,Roma (FCO-Fiumicino - Leonardo da Vinci Int.)   34 min in auto
Hyatt Centric Murano Venice,Galleria fotografica per Hyatt Centric Murano Venice,"Suite Junior, 1 letto king (Murano Junior Suite w/ Canal View) | Biancheria da letto ipoallergenica, minibar, cassaforte in camera","Suite (Riva, Canal View) | Biancheria da letto ipoallergenica, minibar, cassaforte in camera              Parco della struttura              Suite (Riva, Canal View) | Biancheria da letto ipoallergenica, minibar, cassaforte in camera              Aperto a colazione e cena, cucina italiana, con tavoli all'aperto",72+,Panoramica di Hyatt Centric Murano Venice,"Hotel di lusso con spa, non lontano da Museo del Vetro di Murano","9,2",Meraviglioso,,"Riva Longa, 49, Murano Island, Venice, VE, 30141",Museo del Vetro di Murano,2 min a piedi,,,,,
Relais Santa Croce by Baglioni Hotels,Galleria fotografica per Relais Santa Croce by Baglioni Hotels,Sala per riunioni,,67+,Panoramica di Relais Santa Croce by Baglioni Hotels,"Hotel di lusso, con collegamento a una stazione ferroviaria/metropolitana e ristorante, vicino a Galleria degli Uffizi",,,Vedi tutte le 192 recensioni,"Via Ghibellina 87, Florence, FI, 50122",Galleria degli Uffizi,9 min a piedi,Cattedrale di Santa Maria del Fiore,9 min a piedi,,11 min a piedi,Firenze (FLR-Peretola)   30 min in auto
Hotel Bella Venezia,Galleria fotografica per Hotel Bella Venezia,,"Ristorante              Facciata della struttura              Camera Superior con letto matrimoniale o 2 letti singoli | Minibar, una cassaforte in camera, una scrivania, Wi-Fi gratuito              Camera Superior con letto matrimoniale o 2 letti singoli | Minibar, una cassaforte in camera, una scrivania, Wi-Fi gratuito",56+,Panoramica di Hotel Bella Venezia,"Hotel elegante con bar/lounge, non lontano da Teatro Goldoni",,,Vedi tutte le 271 recensioni,"San Marco 4710 - Calle Dei Fabbri, Venice, VE, 30124",,,,,,,
