advertisement title,location,location,location,location,other,price,surface,number of rooms,advertisement title,Price,id,id,location,location,broker,id,number of floors,floors,surface,other,number of rooms,Heating system,Heating system,price,other,price,Price,location,other,other
"vendita Casa a Palermo in Via Mammana, Michelangelo 1/2024 | Toscano",Provincia di Palermo,Palermo,Via Mammana,"Casa a Palermo in Via Mammana, Michelangelo",Rif. 1/2024,199.000 Euro,115 mq,4 locali,"Casa a Palermo in Via Mammana (zona Michelangelo, Cruillas) - Rif. 1/2024",Piena proprietà 199.000 euro 115 mq 4 locali - Michelangelo,3201566702.0,917780490.0,Sciuti,"Via Adolfo Holm 46, angolo Via Scobar - Palermo",Punto Servizi Immobiliari S.r.l.,917780490.0,Signorile di 8 piani,Rialzato,115.0,138.0,"2 Balconi, 1 Terrazzo, 1 Giardino",Ottimo,Autonomo,30€ (mensili),"120,06 Kwh/mq anno",Mutuo: 139.300 €,148.000 euro,Via Leonardo da Vinci,172.0,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"vendita Casa a Torino in Pressi Piazza Santa Rita, Santa Rita 40/2023 | Toscano",,Torino,Pressi Piazza Santa Rita,"Casa a Torino in Pressi Piazza Santa Rita, Santa Rita",Rif. 40/2023,78.000 Euro,65 mq,2 locali,Casa a Torino in Pressi Piazza Santa Rita (zona Santa Rita) - Rif. 40/2023,Piena proprietà 78.000 euro 65 mq 2 locali - Santa Rita,,,Centro Torino,"Via Pietro Micca 5/A, Torino",Toscano SpA,115613050.0,Signorile di 4 piani,4,65.0,8.0,2 Balconi,Da Ristrutturare,Centralizzato,120€ (mensili),"178,45 Kwh/mq anno",Mutuo: 54.600 €,997.000 euro,Piazza Chiesa della Salute,850.0,30.0
"vendita Casa a Roma in Via Teognide, Axa 69/2023 | Toscano",Provincia di Roma,Roma,Via Teognide,"Casa a Roma in Via Teognide, Axa",Rif. 69/2023,479.000 Euro,200 mq,6 locali,"Casa a Roma in Via Teognide (zona Axa, Palocco) - Rif. 69/2023",Piena proprietà 479.000 euro 200 mq 6 locali - Axa,,,Axa Palocco,Via Eschilo 182/C,Palocco Immobiliare S.r.l.,,Signorile di 3 piani,1,200.0,570.0,"2 Balconi, 2 Terrazzi, 1 Giardino",Da Ristrutturare,Autonomo,0€ (mensili),175 Kwh/mq anno,Mutuo: 335.300 €,,,,
"vendita Casa a Roma in Via Giulio Tarra, Colli Portuensi 24/2023 | Toscano",Provincia di Roma,Roma,Via Giulio Tarra,"Casa a Roma in Via Giulio Tarra, Colli Portuensi",Rif. 24/2023,379.000 Euro,105 mq,3 locali,Casa a Roma in Via Giulio Tarra (zona Monteverde Nuovo) - Rif. 24/2023,Piena proprietà 379.000 euro 105 mq 3 locali - Colli Portuensi,,,Monteverde Newton,"Viale dei Colli Portuensi 359, Roma",Punto Immobiliare Monteverde Newton S.r.l.s.,,,Terra,105.0,85.0,"1 Balcone, 1 Terrazzo, 1 Giardino",Da Ristrutturare,Centralizzato,n/d,198 Kwh/mq anno,Mutuo: 265.300 €,275.000 euro,Via Alberto Colantuoni,120.0,6.0
"vendita Casa a Roma in Via Mario Vinciguerra, Trigoria 30/2023 | Toscano",Provincia di Roma,Roma,Via Mario Vinciguerra,"Casa a Roma in Via Mario Vinciguerra, Trigoria",Rif. 30/2023,168.000 Euro,65 mq,3 locali,"Casa a Roma in Via Mario Vinciguerra (zona Laurentina Fuori Gra, Ardeatina Fuori Gra, Trigoria, Castel di Leva) - Rif. 30/2023",Piena proprietà 168.000 euro 65 mq 3 locali - Trigoria,3287023787.0,650173264.0,Trigoria,"Via Bruno dè Finetti, 128",Trigoria Immobiliare S.r.l.,650173264.0,Signorile di 2 piani,Terra,65.0,78.0,"1 Terrazzo, 1 Giardino",Ottimo,Autonomo,85€ (mensili),175 Kwh/mq anno,Mutuo: 117.600 €,185.000 euro,Via Giuseppe Pellizza,90.0,3.0
"vendita Casa Indipendente a Palermo in Via Leonardo da Vinci, Uditore 53/2022 | Toscano",Provincia di Palermo,,Via Leonardo da Vinci,"Casa Indipendente a Palermo in Via Leonardo da Vinci, Uditore",Rif. 53/2022,148.000 Euro,172 mq,7 locali,"Casa Indipendente a Palermo in Via Leonardo da Vinci (zona Leonardo Da Vinci, Uditore) - Rif. 53/2022",Piena proprietà 148.000 euro 172 mq 7 locali - Uditore,3201566702.0,917780490.0,Sciuti,"Via Adolfo Holm 46, angolo Via Scobar - Palermo",Punto Servizi Immobiliari S.r.l.,917780490.0,Economica di 3 piani,"Su più livelli: 3, 2, 1, Terra",172.0,30.0,"2 Balconi, 1 Terrazzo, 1 Giardino",Da Ristrutturare,n/d,,175 Kwh/mq anno,Mutuo: 103.600 €,340.000 euro,Via Di Cristofalo,165.0,5.0
"vendita Villa a Palermo in Viale Sandro Pertini, Cardillo 104/2023 | Toscano",Provincia di Palermo,,Viale Sandro Pertini,"Villa a Palermo in Viale Sandro Pertini, Cardillo",Rif. 104/2023,385.000 Euro,200 mq,8 locali,"Villa a Palermo in Viale Sandro Pertini (zona Tommaso Natale, Sferracavallo, Cardillo) - Rif. 104/2023",Piena proprietà 385.000 euro 200 mq 8 locali - Cardillo,3401754090.0,916262022.0,Villabianca Libertà Mondello,Via Marchese di Villabianca 31/33,Toscano SpA,916262022.0,Economica,"Su più livelli: 1, Terra",200.0,,"2 Balconi, 2 Terrazzi, 1 Giardino",Ottimo,Autonomo,100€ (mensili),175 Kwh/mq anno,Mutuo: 269.500 €,275.000 euro,Pressi Piazza Adriano,100.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"vendita Villa a Palermo in via Ciaculli , Falsomiele 35/2023 | Toscano",Provincia di Palermo,,via Ciaculli,"Villa a Palermo in via Ciaculli , Falsomiele",Rif. 35/2023,160.000 Euro,190 mq,,"Villa a Palermo in via Ciaculli (zona Bonagia, Oreto Nuova, Falsomiele) - Rif. 35/2023",Piena proprietà 160.000 euro 190 mq 9 locali - Falsomiele,3270304095.0,912761967.0,San Lorenzo,"Via San Lorenzo 150, Palermo",Immobiliare Dante S.r.l.,912761967.0,Economica,"Su più livelli: 2, 1, Terra",190.0,,"1 Balcone, 2 Terrazzi, 1 Giardino",Da Ristrutturare,n/d,,175 Kwh/mq anno,Mutuo: 112.000 €,199.000 euro,Via Mammana,115.0,4.0
"vendita Casa a Roma in Via Giuseppe Pellizza, Madonnetta 2/2024 | Toscano",Provincia di Roma,Roma,Via Giuseppe Pellizza,"Casa a Roma in Via Giuseppe Pellizza, Madonnetta",Rif. 2/2024,,,,"Casa a Roma in Via Giuseppe Pellizza (zona Acilia, Dragona, Vitinia) - Rif. 2/2024",Piena proprietà - affittato 185.000 euro 90 mq 3 locali - Madonnetta,3298539667.0,6.523645,Acilia Madonnetta,Via Cesare Maccari 280,Broker Immobiliare Acilia Madonnetta S.r.l.,6.523645,Media Signorile di 3 piani,"Su più livelli: Seminterrato, Rialzato",90.0,75.0,"1 Terrazzo, 1 Giardino",Buono,Autonomo,70€ (mensili),176 Kwh/mq anno,Mutuo: 129.500 €,435.000 euro,Via Capo Bonifati,130.0,4.0
"vendita Casa a Torino in Collina-Strada S. Vincenzo, Crimea 54/2023 | Toscano",,Torino,Collina-Strada S. Vincenzo,"Casa a Torino in Collina-Strada S. Vincenzo, Crimea",Rif. 54/2023,670.000 Euro,320 mq,8 locali,"Casa a Torino in Collina-Strada S. Vincenzo (zona Precollina, Collina) - Rif. 54/2023",Piena proprietà 670.000 euro 320 mq 8 locali - Crimea,,,,,,,,,,,,,,,,,,,,
"vendita Casa a Roma in via alamanno, Dragona 104/2023 | Toscano",Provincia di Roma,Roma,via alamanno,"Casa a Roma in via alamanno, Dragona",Rif. 104/2023,159.000 Euro,95 mq,5 locali,"Casa a Roma in via alamanno (zona Acilia, Dragona, Vitinia) - Rif. 104/2023",Piena proprietà 159.000 euro 95 mq 5 locali - Dragona,3938775186.0,65652421.0,Ostia Antica Dragona,"Viale Dei Romagnoli, 757",Punto Immobiliare Ostia Antica Srl.,65652421.0,Signorile di 2 piani,2,95.0,166.0,"2 Balconi, 1 Terrazzo, 1 Giardino",Discrete,Autonomo,0€ (mensili),175 Kwh/mq anno,Mutuo: 111.300 €,270.000 euro,Via della Fotografia,70.0,3.0
"vendita Villa a Palermo in Via Piero Della Francesca, Sferracavallo 56/2023 | Toscano",Provincia di Palermo,,Via Piero Della Francesca,"Villa a Palermo in Via Piero Della Francesca, Sferracavallo",Rif. 56/2023,250.000 Euro,215 mq,6 locali,"Villa a Palermo in Via Piero Della Francesca (zona Tommaso Natale, Sferracavallo, Cardillo) - Rif. 56/2023",Piena proprietà 250.000 euro 215 mq 6 locali - Sferracavallo,3401754090.0,916262022.0,Villabianca Libertà Mondello,Via Marchese di Villabianca 31/33,Toscano SpA,916262022.0,Ristrutturato di 2 piani,Terra,215.0,90.0,"1 Terrazzo, 1 Giardino",Buono,Autonomo,n/d,175 Kwh/mq anno,Mutuo: 175.000 €,160.000 euro,via Ciaculli,190.0,9.0
"vendita Casa a Firenze in Via Tagliaferri, Baracca 23/2023 | Toscano",Provincia di Firenze,Firenze,Via Tagliaferri,"Casa a Firenze in Via Tagliaferri, Baracca",Rif. 23/2023,259.000 Euro,90 mq,3 locali,"Casa a Firenze in Via Tagliaferri (zona Novoli, Baracca) - Rif. 23/2023",Piena proprietà 259.000 euro 90 mq 3 locali - Baracca,3385247956.0,55357506.0,Novoli,"Firenze Via G.B. Lulli, 22R/24R",Punto Immobiliare NOVOLI I.C. srl,55357506.0,Signorile di 7 piani,3,90.0,23.0,"2 Balconi, 1 Terrazzo",Discrete,Centralizzato,100€ (mensili),138 Kwh/mq anno,Mutuo: 181.300 €,169.000 euro,Via Poggio del pineto,150.0,6.0
"vendita Casa Indipendente a Torino in Pressi Piazza Stampalia, Madonna di Campagna 79/2021 | Toscano",Provincia di Torino,Torino,Pressi Piazza Stampalia,"Casa Indipendente a Torino in Pressi Piazza Stampalia, Madonna di Campagna",Rif. 79/2021,245.000 Euro,115 mq,4 locali,Casa Indipendente a Torino in Pressi Piazza Stampalia (zona Madonna di Campagna) - Rif. 79/2021,Piena proprietà 245.000 euro 115 mq 4 locali - Madonna di Campagna,,,Centro Torino,"Via Pietro Micca 5/A, Torino",Toscano SpA,115613050.0,Media Signorile di 2 piani,"Su più livelli: Seminterrato, Terra",115.0,50.0,2 Giardini,Da Ristrutturare,Autonomo,n/d,"344,5 Kwh/mq anno",Mutuo: 171.500 €,325.000 euro,Ad.ze Lungo Po Antonelli,80.0,3.0
"vendita Casa a Roma in Via Alberto Colantuoni , La Storta 27/2023 | Toscano",Provincia di Roma,Roma,Via Alberto Colantuoni,"Casa a Roma in Via Alberto Colantuoni , La Storta",Rif. 27/2023,275.000 Euro,120 mq,6 locali,Casa a Roma in Via Alberto Colantuoni (zona Cassia la Storta) - Rif. 27/2023,Piena proprietà 275.000 euro 120 mq 6 locali - La Storta,,,Cassia Olgiata,"Via Cassia, 1173",Punto Immobiliare Cassia Olgiata S.r.l.,,Media Signorile di 2 piani,1,120.0,195.0,"3 Balconi, 1 Terrazzo, 1 Giardino",Da Ristrutturare,Autonomo,n/d,"128,94 Kwh/mq anno",Mutuo: 192.500 €,159.000 euro,via alamanno,95.0,5.0
"vendita Villa a Palermo in Via Poggio del pineto , Borgonuovo 8/2023 | Toscano",Provincia di Palermo,,Via Poggio del pineto,"Villa a Palermo in Via Poggio del pineto , Borgonuovo",Rif. 8/2023,169.000 Euro,150 mq,6 locali,"Villa a Palermo in Via Poggio del pineto (zona Michelangelo, Cruillas) - Rif. 8/2023",Piena proprietà 169.000 euro 150 mq 6 locali - Borgonuovo,3270931651.0,917786930.0,Dante Tribunale,Via Dante 9/11,Immobiliare Dante S.r.l.,917786930.0,Media Signorile di 1 piano,Terra,150.0,580.0,"2 Terrazzi, 1 Giardino",Buono,n/d,10€ (mensili),175 Kwh/mq anno,Mutuo: 118.300 €,445.000 euro,Viale Venere,201.0,9.0
"vendita Casa a Torino in Ad.ze Lungo Po Antonelli, Vanchiglia 36/2023 | Toscano",,Torino,Ad.ze Lungo Po Antonelli,"Casa a Torino in Ad.ze Lungo Po Antonelli, Vanchiglia",Rif. 36/2023,325.000 Euro,80 mq,3 locali,Casa a Torino in Ad.ze Lungo Po Antonelli (zona Vanchiglia) - Rif. 36/2023,Piena proprietà 325.000 euro 80 mq 3 locali - Vanchiglia,,,Centro Torino,"Via Pietro Micca 5/A, Torino",Toscano SpA,115613050.0,Signorile di 10 piani,8,80.0,14.0,"1 Balcone, 1 Terrazzo",Ottimo,Autonomo,90€ (mensili),321 Kwh/mq anno,Mutuo: 227.500 €,168.000 euro,Via Mario Vinciguerra,65.0,3.0
"vendita Casa a Firenze in Via del romito , Il Romito 9/2022 | Toscano",Provincia di Firenze,Firenze,Via del romito,"Casa a Firenze in Via del romito , Il Romito",Rif. 9/2022,538.000 Euro,143 mq,7 locali,"Casa a Firenze in Via del romito (zona Statuto, Rifredi, Firenze Nova) - Rif. 9/2022",Piena proprietà 538.000 euro 143 mq 7 locali - Il Romito,3342075797.0,55283359.0,Savonarola,"Via Frà Bartolommeo 38R, Firenze",Punto Immobiliare Savonarola Srl.,55283359.0,Media Signorile di 7 piani,5,143.0,10.0,"1 Balcone, 1 Terrazzo",Ristrutturato,Autonomo,100€ (mensili),90 Kwh/mq anno,Mutuo: 376.600 €,259.000 euro,Via Tagliaferri,90.0,3.0
