HotelName,HotelDescription,PriceRange
Palmyra Beach,"Nestled in Glyfada, this elegant hotel offers a perfect point of departure to explore the archaeological sites, historical buildings, museums and cathedrals. The beach is around 50 m away and Glyfada Square, with its modern shopping and sports venues, its lively Greek taverns, harbours and exciting nightlife, is just a few paces away. Glyfada itself is around 15 km from the centre of Athens. The hotel offers a choice of opulent, modern and ample rooms with inviting balconies, from which guests have a view of either the Saronic Gulf or of the mountains. The air-conditioned and soundproofed units are cosily furnished and make for a pleasant and comfortable stay. The hotel has its own swimming pool and the nearest 18-hole golf course is just 1 km away. The elegant restaurant serves a lavish continental, English and American buffet-style breakfast and visitors may also enjoy the choice of Greek or international dishes and wide selection of finest Greek wines.",EUR 72 - EUR 144
Hellinis Hotel,"The Hellinis Hotel, ideally suitable for both leisure and business traveller, appeals to the demanding guest who looks a subtle luxury and a high level of services. Centrally located close to Acropolis, Constitution Square, next to the business, shopping and entertainment area of Athens. The 86 fully-renovated rooms are equipped with private facilities, air conditioning, sound proof double glazing windows, electronic door locks, direct dial phone, satellite TV, hairdryer, mini fridge, electronic safe and free access to internet services. The hotel offers an elegant Restaurant, a Cocktail Bar, Cafeteria, Room Service, a comfortable TV lounge, Safe deposit facilities and free luggage storage.From the date of: 31/12/2017 Service Tax payable directly at the hotel.From the date of: 01/11/2018 City Tax payable directly at the hotel.",EUR 30 - EUR 61
Atlantis,"Located around the block from Amsterdams Sarphatipark and the famous Albert Cuyp street market. It has a 24-hour reception, a bicycle rental service and modern rooms with free Wi-Fi. Each Hotel Atlantis room comes with a seating area with flat-screen TV with cable channels. They have a private bathroom with shower or bath; there is also a tea/coffee maker. Every morning, guests can opt for a breakfast buffet in the lounge of Hotel Atlantis. The direct around offers a wide variety of restaurants for dinner. The Heinenken Experience is 900 metres on foot. From the tram stop next door, sites such as Rijksmuseum, Leidse Square and Central Train Station are easy to reach. *5% City Tax (5,5% for stays from the 1st Jan 2013), direct payment at the hotel.",EUR 109 - EUR 218
HOTEL PRIMASOL SUNLIGHT SUNRISE,"Located in an excellent spot just 300 metres from the beach and the centre of Golden Sands, the Primasol Sunlight Sunrise is the perfect destination for a holiday in the sun. It is surrounded by pretty and well-kept gardens. Here you are ideally located for accessing the local area. The historical city of Varna is close to the resort, which as well as being Bulgarias biggest port it is also an attractive and cosmopolitan area. Golden Sands has some fantastic facilities itself including a dive centre, tennis, mini golf, jet skis, sailing and a host of other water activities to keep the whole family busy. There is also an exciting nightlife with great shows, nightclubs and beach bars on offer to cater for all tastes. The hotel is well equipped to make your stay a comfortable and enjoyable one. Whether you want to relax by one of the 3 outdoor pools, play tennis or enjoy a bit of volleyball, there is something for everyone. If you are looking to keep fit during your stay, there is a gym where you can work out and to relax afterwards there is a sauna, steam room and jacuzzi. The hotel also puts on",EUR 55 - EUR 110
Erkal Pansion,"Located in Kaleici’s Old Town, this pension is 500 metres from the Mediterranean Sea. It has a tour desk. Free Wi-Fi and free parking are available. The air-conditioned rooms at the Erkal Pansion have parquet flooring and include a TV and a private bathroom. Some rooms have a spacious seating area and a private balcony. Guests of the Erkal can start off their day with a rich breakfast prepared with seasonal ingredients. A shared kitchen is also available for those who like to prepare their own meals. The Pansion’s front desk can arrange tours to historical locations, including Aspendos, Perge, Termessos, Side and Olimpos. Lara and Konyaalti are a 10-minute bus ride away.WiFi is available in all areas and is free of charge. Free public parking is possible at a location nearby (reservation is not needed). Pets are not allowed. All children are welcome. All children under 11 years stay free of charge when using existing beds. There is no capacity for extra beds in the room. The maximum number of total guests in a room is 6. There is no capacity for cots in the room.",EUR 17 - EUR 34
Crystal City,"Situated in a prime setting at the heart of the mesmerising city of Athens, this hotel is located in close proximity to the National Museum and Plaka Square. The hotel offers guests a great location from which to explore the delights that this captivating city has to offer, as well as a boundless array of shopping opportunities, dining options and entertainment venues. The hotel is located within easy access of the Acropolis and Lycabettus Hill. Bathed in the rich culture and history of the city, this charming hotel embodies the elegance and style of a bygone era. Guests are welcomed into a world where tradition and modernity enjoy a happy union. The guest rooms are sumptuously appointed, commanding impressive views over the city streets. Guests are invited to take advantage of the facilities that the hotel has to offer.From the date of: 31/12/2017 Service Tax payable directly at the hotel.From the date of: 01/11/2018 City Tax payable directly at the hotel.",EUR 33 - EUR 67
Athensotel.com,"Property Location With a stay at athensotel.com, you'll be centrally located in Athens, steps from Monastiraki Flea Market and 7 minutes by foot from Roman Agora. This 4-star hotelNonrefundable",EUR 40 - EUR 80
Despo Hotel,Charter Creta Heraklion - Despo Hotel 3*,EUR 0 - EUR 0
ARGOS HOTEL,"HOTEL: This comfortable, luxurious hotel, has a lobby, with a reception, a safety deposit box service, a cloakroom and a currency exchange service. Our guests can find a kiosk, shops, a supermarket, a café, a bar and a restaurant with highchairs, The establishment offers guests internet, room service, a laundry service and an indoor car park. SITUATION: This hotel is in Antalya the heart of 10 kilometres away from the establishment, guests will find Antalya Airport close to the establishment, guests have shopping areas, bars, restaurants, the nightlife and leisure areas. 250 kilometres away, you can find a beach, nearby, there is a public transport stop. ROOM: The comfortable rooms, have a bathroom, a hairdryer, a direct line telephone, satellite or cable TV, internet and a king-size bed. They also have fitted carpets, a safe (available for a fee), an air-conditioning system and a mini-bar. FACILITIES: The establishment has a swimming pool, an open-air bar, deck chairs and parasols. The establishment also offers a sauna, a steam bath and a massage service. MEALS: Regarding the food and beverage offering, the establishment offers a buffet breakfast and dinner and an à la carte lunch. PAYMENT METHODS: Customers can pay using Diners",EUR 59 - EUR 118
Prestige Hotel and Aquapark - All Inclusive,"Prestige Hotel and Aquapark is a 4-star apartment hotel, situated just 150 metres from the beach in Golden Sands resort and 18 km from Varna. The hotel has an indoor swimming pool, and an outdoor swimming pool for adults and children, offering free deck chairs and umbrellas. All of the modern rooms are elegantly, comfortably and functionally furnished. They are especially suited for families with children. A 24-hour guarded parking is available on site. The spa centre of the hotel includes a sauna, massages, hydro-massage and fitness. A beauty centre is also available here. The chic buffet-restaurant, next to the lobby has a wonderful view to the hotels garden and the swimming pool. Airport shuttle can be arranged upon request, at an extra charge. The management and the personnel of the Prestige Hotel and Aquapark will make sure that you experience a relaxing and unforgettable stay.",EUR 76 - EUR 152
Villa Cimbrone,"Property Location Located in Ravello, Villa Cimbrone is on the waterfront, a 4-minute walk from Church of San Francesco and 8 minutes by foot from Villa Rufolo. This 5-star hotel isRefundable",EUR 0 - EUR 0
Golden Tulip Downtown Abu Dhabi,nullFrom the date of: 31/05/2016 City Tax payable directly at the hotel.,EUR 51 - EUR 102
Sol House Bali Legian,"Overview The Sol House Bali Legian is a 4 star property surrounded by endless shopping options from island-chic and trendy Seminyak to Balinese handcrafts in eclectic Kuta. It features a new concept with stylish rooms, modern design and a relaxing pool area and a state-of-the art urban cocktail bar. Guests can enjoy a modern, fun packed and unique selection of food and drinks at any time of day and night. Location The hotel is ideally situated, the most well-known destinations in Bali are just a drive away: Ubud, Unesco Heritage Jatiluwih rice terraces, Uluwatuâs ancient Hindu temples, etc. It is within walking distance to tropical, sun-kissed Legian Beach and its world-famous surf breaks. Rooms The rooms are decorated elegantly and feature modern amenities such as air conditioning, cable/satellite TV, coffee/tea maker, cots on request, mini bar, safe, hairdryer, telephone, television and Wi-Fi. Food and Drinks Guests can enjoy a wide selection of fresh food and drinks at Sol House Bali Legian. The hotel has a daily market style buffet breakfast, PlayBar all day dining restaurant, pool bar, urban cocktail bar and a stunning SolSets RoofTop Bar with over-sized Jacuzzi and resident DJ booth.",EUR 0 - EUR 0
Voyage Belek Golf & Spa,"Nestled within a pine forest and right next to a beach, the Voyage Belek Golf and Spa's focus is on relaxation of the mind, body and soul. Make yourself at home in one of the spacious guest rooms that all benefit from a bright and contemporary design opening out to a terrace or balcony. A TV with satellite channels, safe and desk all come as standard and the private bathrooms feature a shower/tub as well as a hairdryer. If golf is not your thing then indulge yourself at the Lipsos Wellness and Spa Centre with a massage or take a dip in the Turkish Bath. Further facilities include six attractive outdoor swimming pools as well as a fully-equipped fitness centre so you can keep up with your fitness regimes away from home. Sports enthusiasts will also enjoy beach volleyball, tennis, badminton and numerous water sports opportunities on-site. Among the other hotel's facilities are: a parking (for a surcharge) and Wi-Fi (for a surcharge). Children will also be kept entertained at the kids clubs that is suitable for children aged four to 15 years old, with activities and facilities such as a play park, mini disco and face painting. The golfers",EUR 272 - EUR 545
Magralu Bandb,"Magralù 2 B&B is set in an elegant building with lift, just off Alghero's new Ramblas seafront promenade. All accommodation is large and offers free Wi-Fi and a balcony. Breakfast is generous. Rooms feature a stylish design, with cool tiled floors and unique furnishings. Each comes with air conditioning and a private bathroom with shower. The continental breakfast buffet includes hot and cold drinks, pastries, fresh fruit, bread, ham and cheese. The Magralù 2 is 150 metres from Alghero Lido, with public and private beaches. The harbour is a 10-minute walk away.WiFi is available in all areas and is free of charge. Private parking is possible on site (reservation is needed) and costs EUR 8 per day. Pets are not allowed. All children are welcome. All children under 4 years are charged EUR 5 per person per night for children's cots/cribs. All children under 4 years are charged EUR 5 per person per night when using existing beds. The maximum number of children's cots/cribs in a room is 1. There is no capacity for extra beds in the room.",EUR 57 - EUR 114
Old Quarter,"Property Location With a stay at Hotel Old Quarter, you'll be centrally located in Amsterdam, just a 4-minute walk from The Old Church (Oude Kerk) and 7 minutes by foot from DamNonrefundable",EUR 84 - EUR 168
Hohenstauffen,"Property Location With a stay at Hotel Hohenstauffen in Salzburg (Elisabeth-Vorstadt), you'll be minutes from Salzburg Congress Convention Center and Mirabell Palace and Gardens. This hotel is within close proximity of Mirabell Gardens and Salzburg Baroque Museum.Rooms Make yourself at home in one of the 31 individually decorated guestrooms. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and bidets. Conveniences include safes and desks, and housekeeping is provided daily.Rec, Spa, Premium Amenities Take advantage of recreation opportunities such as bicycles to rent, or other amenities including complimentary wireless Internet access and tour/ticket assistance.Dining Take advantage of the hotel's room service (during limited hours).Business, Other Amenities Featured amenities include express check-in, express check-out, and complimentary newspapers in the lobby. A train station pick-up service is available for a surcharge.",EUR 81 - EUR 163
Estherea,"General Hotel Estherea is situated in a series of seventeenth-century buildings in Singel, the most important Amsterdam canal. It offers 91 luxuriously decorated rooms and 2 suites decorated in bright colors, all equipped with air conditioning, TV, telephone, safe, mini bar and private bathroom with hairdryer. Some rooms have canal views. This fantastic hotel offers breakfast service, bar, gym, living room overlooking the canal, library with books / newspapers / magazines and three meeting rooms with capacity for 24 people. Also note the room service, 24 hours reception service, motorbikes and bicycles rental, luggage storage, laundry, dry cleaning, Internet Wi-Fi throughout the hotel and private underground parking.Localization Description Hotel Estherea is located in Singel, in the heart of Amsterdam, 1 km from Rembrandt Museum, 1.5 km from Amsterdam Central Station, 3km from the Van Gogh Museum and Sarphatipark and 17km from Schiphol-Amsterdam Airport.Policies Check-In: 15h00, Check-Out: 12h00, Children Accepted, Credit Cards AcceptedAdditional Info Total Rooms: 93, Suites: 2Hotel Facilities Bar/Coffee Shop, Safe, Elevator, Parking, Gym/Health Club, Reception: 24 h, Room Service, Laundry, Dry Cleaning, Babysitting: No, Internet, Wi-FiHow To Arrive Route plan from Schiphol-Amsterdam Airport to the Hotel: https://www.google.pt/maps/dir/Aeroporto+de+Amsterd%C3%A3o+Schiphol,+Holanda/Hotel+Estherea,+Singel+303-309,+1012+WJ+Amsterdam/@52.3425929,4.7919454,12z/data=!3m1!4b1!4m13!4m12!1m5!1m1!1s0x47c5e1285b114e1d:0xb7ded7949cdb4db!2m2!1d4.7674241!2d52.3076865!1m5!1m1!1s0x47c609c3df4be4ef:0x92a32301c4752ca4!2m2!1d4.8886439!2d52.3705447Points Of Interest City Centre (500 m), Shopping Area (50 m), Restaurants/Bars",EUR 227 - EUR 454
Sea View,"This beach hotel is situated in the commercial suburb of Glyfada, near the beach resort known as the 'Athenian Riviera'. The heart of the Greek capital is a 20-minute drive away and Glyfada Square, with its shopping and sports centres, restaurants serving all choices of international cuisine and non-stop nightlife, is a 5-minute walk away. The modern 7-storey building is furnished in a classy style and offers all the conveniences required by business and leisure travellers. There are specially-dedicated executive rooms decorated in different styles and perfectly equipped for business use. Those who need to take their meetings to a more casual surrounding can book a round at the nearby 18-hole golf course. The rest of the guests can spend their days lazing around in the garden with its outdoor swimming pool or working on their tan and enjoying the waves at the nearby beach.",EUR 92 - EUR 185
Valmar,,EUR 45 - EUR 90
Royal Wings,"Opened in 2005, the fantastic modern Royal Wings hotel is situated on 72,000 m2 of an extraordinary garden and pool landscape frontline to the beach and the warm waters of the Mediterranean Sea. The city centre of Antalya is only 17 km away, while the international airport can be reached within a short drive. The hotel excels in every aspect: it features various pools including a vast lagoon-style pool, the largest of the Lara region with more than 3,000 m2. Children will love the children's pools with slides and animation as well as the mini club with cinema, mini disco and a host of other activities. Guests can spoil their taste buds in a buffet and various delicious à la carte restaurants, while 9 bars invite to have a drink. Excellent sports facilities including a bowling alley, an amphitheatre for 1,000 people and a wonderful spa and wellness area complete the offer.",EUR 320 - EUR 641
Adalia,"With a stay at Adalia Hotel in Antalya (Lara), you'll be within a 10-minute drive of Shemall Shopping Center and Karnaval Park. This hotel is 5.7 mi (9.1 km) from Lara Beach and 4.5 mi (7.2 km) from Clock Tower.",EUR 23 - EUR 47
Aando Amsterdam Zuidoost,"A&O Amsterdam Zuidoost Hotel is a popular choice amongst travelers in Amsterdam, whether exploring or just passing through. Featuring a complete list of amenities, guests will find their stay at the property a comfortable one. All the necessary facilities, including free Wi-Fi in all rooms, 24-hour front desk, luggage storage, Wi-Fi in public areas, car park, are at hand. Designed for comfort, selected guestrooms offer television LCD/plasma screen, linens, mirror, towels, internet access – wireless (complimentary) to ensure a restful night. To enhance guests` stay, the hotel offers recreational facilities such as children`s playground, billiards, games room. A&O Amsterdam Zuidoost Hotel is an excellent choice from which to explore Amsterdam or to simply relax and rejuvenate. Towels and linens are available at an additional charge. Children under 7 years old stay for free if using existing bed when staying in Family Room type.Guests over 17 years old are considered as adults.",EUR 35 - EUR 71
Triana Hotel,"EPS Location 1 and 2 With a stay at Triana Hotel, you'll be centrally located in Antalya, within a 5-minute drive of Clock Tower and Old Bazaar. This hotel is 6.4 mi (10.3 km) from",EUR 55 - EUR 110
Grand Millennium Al Wahda,"This 5 star hotel is located in the city centre of Abu Dhabi and was established in 2010. It is close to the Al Wahda Shopping Mall. The Hotel has a coffee shop and a fitness centre/gym. All 844 rooms are equipped with minibar, hairdryer, safe, trouser press, ironing set and air conditioning.From the date of: 31/05/2016 City Tax payable directly at the hotel.",EUR 85 - EUR 171
Oasis Hotel Apartments,"Standard and Executive Apartments with Private Bathroom with shower, Seating Area, Desk, Direct dial phone, Private Balcony with View, Safe, TV, Daily Housekeeping Service and free Wi-fi Internet Access. Some Apartments provide Kitchen facilities. 24h Room Service, Swimming Pool and Children' s pool. Catering/Menu for Special Events (Weddings, etc.) starts from 23 Euro per person.Conference Room Capacity: 20-350 person.Pets not allowed .Renovation: 2003.From the date of: 31/12/2017 Service Tax payable directly at the hotel.From the date of: 01/11/2018 City Tax payable directly at the hotel.",EUR 40 - EUR 81
Conservatorium,"The Conservatorium Hotel is a true design hotel that combines historical architecture with modern design, designed by Piero Lissoni. This magnificent neo-Gothic building was originally built in the late 19th century and was transformed into a contemporary luxury hotel. It is the first member of The Set, a collection created to redefine the concept of luxury hotel for sophisticated, design literate travelers in the 21st century.It disposes of 129 historical rooms and suites spread over 8 floors. All rooms are equipped with LCD TV, Wi-Fi Internet, telephone, gourmet mini-bar, fruit and water, brushed-oak flooring and beige furniture define the cool autumnal colour scheme that is both modern and classic at the same time.This hotel has 5 dining spaces: The Conservatorium Brasserie, The Conservatorium Lobby, Tunes Restaurant and Bar by Schilo and Private Dining Room. In addition to offering 6 meeting conferences and functional rooms, (Symphony Room, Harmony Room, Blue Room, Yellow Room, Orange Room and Red Room), Akasha Holistic Wellbeing Wellness Centre (of 1000 sq., with gym, spa, swimming pool, Hamman and Watsu pool, yoga, Pilates, meditation room and therapies), terrace, shops and a Hairdresser.Check-In: 14h00Check-Out: 12h00Children AcceptedCredit Cards AcceptedFrom the date of: 01/01/2020 City Tax of 7% + 3",EUR 312 - EUR 624
Alma,"This hotel is situated on Omonia Square in the very centre of Athens. Omonia metro station is only a stone's throw away, providing easy access to all parts of the city, and many famous sights are within walking distance, including the Parthenon, the National Gardens and the Museum of Greek Folk Art. The central train station is a 15-minute stroll from the hotel, while the airport is 30 km away. The hotel offers 24-hour reception, and a meeting room for added convenience, and guests might make use of free WIFI and dine in the restaurant and bar, all during a productive business trip or exciting sightseeing holiday.",EUR 23 - EUR 47
Ela Mesa Luxury Apartments,"LocationThis accommodation is located in Vathi. The nearest airport is Athen (ATH).Facilities14 rooms are available to guests at this accommodation, which includes a reception desk. The accommodation provides a baggage storage service, a safe, a babysitting service, a childcare service, a transfer service and a business centre. Wireless internet access is provided in public areas. Guests arriving by car can park their vehicles in the car park. Other services include a hotel shuttle bus. Active guests can make use of the bicycle hire service to explore the surrounding area.RoomsRooms feature a kitchen and a bathroom, and air conditioning ensures just the right temperature. Guests can enjoy the sea view from a balcony or terrace. The rooms have a double bed and a sofa bed. Separate bedrooms are available. Guests will also find a refrigerator included among the standard features. A TV and WiFi provide all the essentials for a comfortable holiday. Bathrooms are equipped with a shower and include a hairdryer. 7 family rooms are available for parents with children.Sports/EntertainmentGuests can enjoy a selection of sport and entertainment options. The outdoor pool complex provides invigorating refreshment. Comfortable sun loungers are available on the terrace. A variety of refreshing drinks await",EUR 50 - EUR 100
Apollonia Hotel Apartments,"This wonderful aparthotel is situated in Varkiza, lying just 400 metres from the beach. Guests will find themselves within easy driving distance of the captivating city of Athens and the international airport. The complex is located in close proximity to a number of delightful attractions in the area. This superb complex greets guests with warm hospitality and charm, welcoming them into the relaxing surroundings of the beautifully-appointed apartments. The apartments offer a relaxing home away from home, featuring soothing tones which reflect the natural beauty of the surroundings. Guests are sure to appreciate the excellent service that they receive at this complex.",EUR 43 - EUR 87
Cleopatra Tac,"This property enjoys a wonderful setting in Alanya. The property is situated just a short walking distance away from Alanya's famous Cleopatra Beach. The centre of Alanya is just a short driving distance away. Damlatas Cave is just 1 km from the hotel. Guests will find themselves just a short distance from the area's many attractions, including the castle. Links to the public transport network can be found nearby. This wonderful property appeals to every type of traveller visiting the area. The guest rooms are superbly designed, offering a relaxed setting in which to escape the bustle of daily life. Guests can enjoy a leisurely swim in the pool, or simply sit back and relax in the sauna or Turkish Bath. *** Air condation and safe box are extra- local payment at the hotel.***",EUR 24 - EUR 48
Leonardo Royal Hotel Amsterdam,"The Leonardo Royal Hotel Amsterdam welcomes you to the Dutch city of canals and bridges. The 4-star superior hotel is located directly at the metro station Overamstel. Thanks to its convenient location and connection to two metro lines you can reach Amsterdam Central Station and Schiphol Airport within just a few minutes. Business travellers will also benefit from the direct underground connection to the Amsterdam RAI Exhibition and Conference Centre. The 18-storey hotel has 490 rooms with a fresh design and high-quality equipment. It offers free Wi-Fi, HD TV and air conditioning and will make you feel at home. A special feature is our exclusive ¿Women-friendly¿ rooms, which are specifically developed to cater to the needs of women. Our restaurant ¿Vitruv¿ takes care of your well-being with exquisite dishes. Or treat yourself with an uplifting coffee in the cosy coffee corner. A relaxed club atmosphere and the combination of an extraordinary light and music concept turn the trendy 'Leo' lounge into the place-to-be, the perfect location for relaxation or good conversations.From the date of: 01/01/2020 City Tax of 7% + 3 euros per person and per night to be paid directly at the hotel.",EUR 177 - EUR 354
Ramada Corniche,"Property Desc:Property Location With a stay at Ramada Abu Dhabi Corniche, you`ll be centrally located in Abu Dhabi, a 5-minute drive from The Corniche and 7 minutes from Abu Dhabi Mall. This 4-star hotel is 3.9 mi (6.2 km) from Al Wahda Mall and 5.9 mi (9.4 km) from Marina Mall.Rooms Make yourself at home in one of the 238 air-conditioned rooms featuring iPod docking stations and minibars. Flat-screen televisions with satellite programming provide entertainment, while complimentary wireless Internet access keeps you connected. Private bathrooms with shower/tub combinations feature complimentary toiletries and bidets. Conveniences include phones, as well as safes and desks.Amenities Enjoy a range of recreational amenities, including a health club, an outdoor pool, and a spa tub. Additional amenities at this hotel include complimentary wireless Internet access, concierge services, and gift shops/newsstands.Dining For lunch or dinner, stop by Front Page Cafe, a restaurant that specializes in international cuisine. Dining is also available at the coffee shop/café, and 24-hour room service is provided. Buffet breakfasts are available daily from 6:30 AM to 10:30 AM for a fee.Business, Other Amenities Featured amenities include complimentary wired Internet access, a 24-hour business center, and express check-in. Limited parking is available onsite.Room Info:Know",EUR 56 - EUR 112
Grecotel Pallas Athena,Grecotel Pallas Athena luxury hotel is a place where luxury and feeling at home interweave to create a new hospitality experience. An art boutique hotel for luxurious downtown living in Athens. Immerse yourself in the elegant and relaxing atmosphere that Pallas Athena offers and let yourself be carried away by the beauty of the works on exhibit.Distance from the Airport: ca  Distance from the nearest village/town: located in the city centreAdditional information: Cleaning: TBALinen Change: TBATowel Change: TBABus stop: TBAATM: TBA The images shown here serve to give a general impression of the hotel. The facilities may be slightly different from these examples as well as the names of the room types.,EUR 118 - EUR 237
Resort Ambient,"Offering a hot tub, a heated indoor pool and ski storage, Resort Ambient is situated in Cristian, 7 km from Bra?ov. The resort has a seasonal outdoor pool and childrens playground. The rooms of Resort Ambient come with beamed ceilings and traditional furniture in pastel colours. The amenities include a flat-screen TV with cable channels, bathrobes and slippers, as well as free toiletries. Certain units feature a seating area for your convenience. You will find a 24-hour front desk at the property. You can play table tennis and billiards here, while children have a playground at their disposal. Guests can savour their meal in the stylish Edelweiss restaurant, or relax with a drink from the bar. The restaurant serves international and local dishes. The resort also offers car hire so you can explore the surroundings, such as R??nov Citadel, a 15-minute drive away. Poiana Brasov ski resort is 14 km from the property.",EUR 97 - EUR 194
